,CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count,Income_Class
196,10540,"Albany, OR Metro","Income $175,000 - $199,999",2 Member HH,40,Upper
197,10540,"Albany, OR Metro","Income $200,000 - $249,999",2 Member HH,107,Upper
198,10540,"Albany, OR Metro","Income $25,000 - $34,999",2 Member HH,1950,Lower
199,10540,"Albany, OR Metro","Income $250,000+",2 Member HH,171,Upper
200,10540,"Albany, OR Metro","Income $35,000 - $49,999",2 Member HH,3889,Middle
201,10540,"Albany, OR Metro","Income $50,000 - $74,999",2 Member HH,3098,Middle
202,10540,"Albany, OR Metro","Income $75,000 - $99,999",2 Member HH,2151,Middle
203,10540,"Albany, OR Metro","Income <$15,000",2 Member HH,2552,Lower
204,10540,"Albany, OR Metro","Income $100,000 - $124,999",3 Member HH,383,Middle
205,10540,"Albany, OR Metro","Income $125,000 - $149,999",3 Member HH,156,Upper
206,10540,"Albany, OR Metro","Income $15,000 - $24,999",3 Member HH,421,Lower
207,10540,"Albany, OR Metro","Income $150,000 - $174,999",3 Member HH,112,Upper
208,10540,"Albany, OR Metro","Income $175,000 - $199,999",3 Member HH,22,Upper
209,10540,"Albany, OR Metro","Income $200,000 - $249,999",3 Member HH,30,Upper
210,10540,"Albany, OR Metro","Income $25,000 - $34,999",3 Member HH,477,Lower
211,10540,"Albany, OR Metro","Income $250,000+",3 Member HH,55,Upper
212,10540,"Albany, OR Metro","Income $35,000 - $49,999",3 Member HH,776,Lower
213,10540,"Albany, OR Metro","Income $50,000 - $74,999",3 Member HH,1367,Middle
214,10540,"Albany, OR Metro","Income $75,000 - $99,999",3 Member HH,844,Middle
215,10540,"Albany, OR Metro","Income <$15,000",3 Member HH,365,Lower
216,10540,"Albany, OR Metro","Income $100,000 - $124,999",4 Member HH,258,Middle
217,10540,"Albany, OR Metro","Income $125,000 - $149,999",4 Member HH,91,Middle
218,10540,"Albany, OR Metro","Income $15,000 - $24,999",4 Member HH,225,Lower
219,10540,"Albany, OR Metro","Income $150,000 - $174,999",4 Member HH,68,Upper
220,10540,"Albany, OR Metro","Income $175,000 - $199,999",4 Member HH,15,Upper
221,10540,"Albany, OR Metro","Income $200,000 - $249,999",4 Member HH,16,Upper
222,10540,"Albany, OR Metro","Income $25,000 - $34,999",4 Member HH,273,Lower
223,10540,"Albany, OR Metro","Income $250,000+",4 Member HH,29,Upper
224,10540,"Albany, OR Metro","Income $35,000 - $49,999",4 Member HH,350,Lower
225,10540,"Albany, OR Metro","Income $50,000 - $74,999",4 Member HH,904,Middle
226,10540,"Albany, OR Metro","Income $75,000 - $99,999",4 Member HH,595,Middle
227,10540,"Albany, OR Metro","Income <$15,000",4 Member HH,178,Lower
228,10540,"Albany, OR Metro","Income $100,000 - $124,999",5+ Member HH,442,Middle
229,10540,"Albany, OR Metro","Income $125,000 - $149,999",5+ Member HH,138,Middle
230,10540,"Albany, OR Metro","Income $15,000 - $24,999",5+ Member HH,312,Lower
231,10540,"Albany, OR Metro","Income $150,000 - $174,999",5+ Member HH,81,Middle
232,10540,"Albany, OR Metro","Income $175,000 - $199,999",5+ Member HH,19,Upper
233,10540,"Albany, OR Metro","Income $200,000 - $249,999",5+ Member HH,21,Upper
234,10540,"Albany, OR Metro","Income $25,000 - $34,999",5+ Member HH,313,Lower
235,10540,"Albany, OR Metro","Income $250,000+",5+ Member HH,39,Upper
236,10540,"Albany, OR Metro","Income $35,000 - $49,999",5+ Member HH,356,Lower
237,10540,"Albany, OR Metro","Income $50,000 - $74,999",5+ Member HH,1425,Middle
238,10540,"Albany, OR Metro","Income $75,000 - $99,999",5+ Member HH,982,Middle
239,10540,"Albany, OR Metro","Income <$15,000",5+ Member HH,204,Lower
240,10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",1 Member HH,11324,Upper
241,10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",1 Member HH,7063,Upper
242,10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",1 Member HH,15669,Lower
243,10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",1 Member HH,7179,Upper
244,10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",1 Member HH,789,Upper
245,10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",1 Member HH,2583,Upper
246,10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",1 Member HH,15320,Middle
247,10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",1 Member HH,3748,Upper
248,10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",1 Member HH,21962,Middle
249,10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",1 Member HH,22311,Middle
250,10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",1 Member HH,11725,Upper
251,10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",1 Member HH,19280,Lower
252,10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",2 Member HH,11761,Upper
253,10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",2 Member HH,6386,Upper
254,10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",2 Member HH,9214,Lower
255,10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",2 Member HH,5565,Upper
256,10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",2 Member HH,1351,Upper
257,10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",2 Member HH,2215,Upper
258,10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",2 Member HH,9113,Lower
259,10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",2 Member HH,2911,Upper
260,10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",2 Member HH,14135,Middle
261,10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",2 Member HH,22524,Middle
262,10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",2 Member HH,15420,Middle
263,10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",2 Member HH,10310,Lower
264,10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",3 Member HH,5455,Middle
265,10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",3 Member HH,3053,Upper
266,10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",3 Member HH,2525,Lower
267,10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",3 Member HH,2133,Upper
268,10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",3 Member HH,614,Upper
269,10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",3 Member HH,848,Upper
270,10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",3 Member HH,2860,Lower
271,10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",3 Member HH,1071,Upper
272,10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",3 Member HH,3719,Lower
273,10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",3 Member HH,9888,Middle
274,10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",3 Member HH,10075,Middle
275,10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",3 Member HH,1874,Lower
276,10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",4 Member HH,3723,Middle
277,10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",4 Member HH,2590,Middle
278,10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",4 Member HH,1326,Lower
279,10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",4 Member HH,1651,Upper
280,10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",4 Member HH,436,Upper
281,10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",4 Member HH,686,Upper
282,10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",4 Member HH,1376,Lower
283,10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",4 Member HH,743,Upper
284,10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",4 Member HH,1698,Lower
285,10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",4 Member HH,5778,Middle
286,10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",4 Member HH,7526,Middle
287,10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",4 Member HH,873,Lower
288,10580,"Albany-Schenectady-Troy, NY Metro","Income $100,000 - $124,999",5+ Member HH,5474,Middle
289,10580,"Albany-Schenectady-Troy, NY Metro","Income $125,000 - $149,999",5+ Member HH,4177,Middle
290,10580,"Albany-Schenectady-Troy, NY Metro","Income $15,000 - $24,999",5+ Member HH,1573,Lower
291,10580,"Albany-Schenectady-Troy, NY Metro","Income $150,000 - $174,999",5+ Member HH,2174,Middle
292,10580,"Albany-Schenectady-Troy, NY Metro","Income $175,000 - $199,999",5+ Member HH,669,Upper
293,10580,"Albany-Schenectady-Troy, NY Metro","Income $200,000 - $249,999",5+ Member HH,978,Upper
294,10580,"Albany-Schenectady-Troy, NY Metro","Income $25,000 - $34,999",5+ Member HH,1589,Lower
295,10580,"Albany-Schenectady-Troy, NY Metro","Income $250,000+",5+ Member HH,1088,Upper
296,10580,"Albany-Schenectady-Troy, NY Metro","Income $35,000 - $49,999",5+ Member HH,1544,Lower
297,10580,"Albany-Schenectady-Troy, NY Metro","Income $50,000 - $74,999",5+ Member HH,7105,Middle
298,10580,"Albany-Schenectady-Troy, NY Metro","Income $75,000 - $99,999",5+ Member HH,10964,Middle
299,10580,"Albany-Schenectady-Troy, NY Metro","Income <$15,000",5+ Member HH,1049,Lower
300,10740,"Albuquerque, NM Metro","Income $100,000 - $124,999",1 Member HH,5203,Upper
301,10740,"Albuquerque, NM Metro","Income $125,000 - $149,999",1 Member HH,3132,Upper
302,10740,"Albuquerque, NM Metro","Income $15,000 - $24,999",1 Member HH,13201,Lower
303,10740,"Albuquerque, NM Metro","Income $150,000 - $174,999",1 Member HH,2757,Upper
304,10740,"Albuquerque, NM Metro","Income $175,000 - $199,999",1 Member HH,1167,Upper
305,10740,"Albuquerque, NM Metro","Income $200,000 - $249,999",1 Member HH,1208,Upper
306,10740,"Albuquerque, NM Metro","Income $25,000 - $34,999",1 Member HH,12000,Middle
307,10740,"Albuquerque, NM Metro","Income $250,000+",1 Member HH,1772,Upper
308,10740,"Albuquerque, NM Metro","Income $35,000 - $49,999",1 Member HH,14095,Middle
309,10740,"Albuquerque, NM Metro","Income $50,000 - $74,999",1 Member HH,14122,Middle
310,10740,"Albuquerque, NM Metro","Income $75,000 - $99,999",1 Member HH,5988,Upper
311,10740,"Albuquerque, NM Metro","Income <$15,000",1 Member HH,17363,Lower
