CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count
10740,"Albuquerque, NM Metro","Income $250,000+",3 Member HH,1054
10740,"Albuquerque, NM Metro","Income $250,000+",4 Member HH,603
10740,"Albuquerque, NM Metro","Income $250,000+",5+ Member HH,698
10740,"Albuquerque, NM Metro","Income $35,000 - $49,999",1 Member HH,14095
10740,"Albuquerque, NM Metro","Income $35,000 - $49,999",2 Member HH,20700
10740,"Albuquerque, NM Metro","Income $35,000 - $49,999",3 Member HH,5688
10740,"Albuquerque, NM Metro","Income $35,000 - $49,999",4 Member HH,2474
10740,"Albuquerque, NM Metro","Income $35,000 - $49,999",5+ Member HH,2422
10740,"Albuquerque, NM Metro","Income $50,000 - $74,999",1 Member HH,14122
10740,"Albuquerque, NM Metro","Income $50,000 - $74,999",2 Member HH,22593
10740,"Albuquerque, NM Metro","Income $50,000 - $74,999",3 Member HH,9971
10740,"Albuquerque, NM Metro","Income $50,000 - $74,999",4 Member HH,6041
10740,"Albuquerque, NM Metro","Income $50,000 - $74,999",5+ Member HH,7623
10740,"Albuquerque, NM Metro","Income $75,000 - $99,999",1 Member HH,5988
10740,"Albuquerque, NM Metro","Income $75,000 - $99,999",2 Member HH,14538
10740,"Albuquerque, NM Metro","Income $75,000 - $99,999",3 Member HH,8061
10740,"Albuquerque, NM Metro","Income $75,000 - $99,999",4 Member HH,5605
10740,"Albuquerque, NM Metro","Income $75,000 - $99,999",5+ Member HH,7841
10740,"Albuquerque, NM Metro","Income <$15,000",1 Member HH,17363
10740,"Albuquerque, NM Metro","Income <$15,000",2 Member HH,16729
10740,"Albuquerque, NM Metro","Income <$15,000",3 Member HH,3471
10740,"Albuquerque, NM Metro","Income <$15,000",4 Member HH,1596
10740,"Albuquerque, NM Metro","Income <$15,000",5+ Member HH,1691
10740,"Albuquerque, NM Metro",Unknown Income,1 Member HH,2
